id,name,country,rank,continent,loudness,acousticness,danceability,energy,instrumentalness,key,liveness,mode,speechiness,tempo,time_signature,valence,explicit,artist_id
BR-0bPP5cDG1ZnbAVCEa3ZbQ1,Só Fé,BR,0,SA,-8.565,0.511,0.872,0.696,0.000386,7,0.195,0,0.0357,138.004,4,0.62,False,1eIYP01ZLPKEExhcV6xFgt
BR-7l9Tq5phzkLnhWUyfp702G,Saveiro,BR,1,SA,-3.608,0.341,0.79,0.849,0.0,9,0.356,1,0.041,118.074,4,0.8,False,0JRPF8WIKUtSO2IUYfrcuh
BR-5sKGmZDmkGwFed5dPpZpZL,Xonei,BR,2,SA,-3.992,0.384,0.561,0.824,0.0,9,0.0956,1,0.189,163.81,4,0.696,False,1elUiq4X7pxej6FRlrEzjM
BR-7xjV9rXbAUDCreKgx2pkGY,"Louco, Louco - Ao Vivo",BR,3,SA,-11.469,0.702,0.891,0.436,2.19e-06,10,0.116,0,0.0825,133.964,4,0.962,False,0BHm7qbh3ENxvXzkQAG7MP
BR-0S7o4sti5I5CAbbotTUzTM,Wi-Fi - Ao Vivo,BR,4,SA,-4.696,0.414,0.596,0.806,0.0,1,0.605,0,0.211,149.813,4,0.369,False,0FMBXfGasuAjdpsCs7zgju
BR-368hYqtNCKCAeUduMoSHhh,Aproveita - Ao Vivo,BR,5,SA,-4.025,0.602,0.608,0.821,0.0,4,0.937,1,0.0931,149.896,4,0.513,False,1tKrZaph4cLsnEdqC5BNEQ
BR-7IFsTX5H1sWcEl8joV0IdD,THE BOX MEDLEY FUNK 2,BR,6,SA,-8.568,0.578,0.778,0.687,0.0105,11,0.356,0,0.105,117.008,4,0.839,False,7gHzR22tDNSWGS4HkvvPgw
BR-1NcqLEg2r2LXqMVbam2BJD,Triplex - Ao Vivo,BR,7,SA,-4.603,0.582,0.657,0.839,0.0,8,0.945,0,0.0528,109.813,4,0.793,False,37mqXU98U5GmH5ZDtlHM1c
BR-6m51sam9gIqRMbJEKW4ADe,De Graça ou Pagando,BR,8,SA,-5.562,0.384,0.875,0.782,0.0,2,0.0624,1,0.0499,139.897,4,0.836,False,1eIYP01ZLPKEExhcV6xFgt
BR-6NJzycLHOAh940pcqcUVp6,Morar Nesse Motel,BR,9,SA,-2.767,0.299,0.723,0.751,0.0,4,0.347,1,0.0415,116.089,4,0.68,False,7MiDcPa6UiV3In7lIM71IN
BR-106SKHXoytRADjpxHBkJpV,Mtg Forró e Desmantelo,BR,10,SA,-6.792,0.821,0.447,0.428,0.0,4,0.0841,0,0.303,168.966,3,0.53,True,7u9115faVQY8xNrCXqY0zx
BR-6mTpK40yIRk1xGGNvRMHGg,Me Caiu Tão Bem - Ao Vivo,BR,11,SA,-4.049,0.518,0.569,0.724,0.0,1,0.448,1,0.041,133.557,4,0.373,False,3hq7WoPJsrRP0KMSLhUgRz
BR-0GbvYZsvz7bWyijBDESebX,Mulher Foda - Ao Vivo,BR,12,SA,-2.667,0.347,0.654,0.828,0.0,0,0.365,0,0.0491,116.007,4,0.644,False,2eK9gcJQ6uqVvJL63dnOM3
BR-6gjsnEQxLqVkieeloQTozN,Não Fosse Tão Tarde - MTG Remix,BR,13,SA,-0.666,0.174,0.645,0.33,1.67e-06,1,0.0697,0,0.506,85.547,5,0.62,False,7l8ESevPECrqChwl3Bf7ov
BR-4VNRWHoiKHZJIoQHPbmJIv,Gosta De Rua - Ao Vivo,BR,14,SA,-5.164,0.548,0.675,0.893,0.0,3,0.521,0,0.141,106.064,4,0.607,False,7gZu6kPnY9enEi5FvgTO4F
BR-6u9tu5yRDTHpWlY86J1GDa,Nem a Pau (feat. Simone Mendes) - Ao Vivo,BR,15,SA,-4.156,0.604,0.754,0.794,0.0,1,0.801,0,0.0645,101.978,4,0.553,False,597XBqZtaiZC7laCNx3nVz
BR-7ldcYtMOjtX1eFVEYzj2kJ,Sagrado Profano,BR,16,SA,-5.554,0.497,0.665,0.717,0.0,8,0.0998,1,0.249,129.882,4,0.638,False,4PzYKhC14sTJNEr0dzoo0d
BR-4XaLEsmrRGSDkgd7qpn4Nl,Sempre na Simplicidade,BR,17,SA,-3.382,0.268,0.69,0.771,0.0,1,0.0965,0,0.445,116.539,4,0.454,True,70jpkgy5oGT4YjaGFpCpk7
BR-7sAyqOe0BHySvFjSI5tnBA,Diferentona,BR,18,SA,-2.85,0.466,0.567,0.835,0.0,11,0.212,1,0.225,171.88,4,0.639,False,6Wlvsn3IPHiZwAv02lB5eC
BR-6W196uVRkmQFHbc1XV8DNk,Sonho Dela (Cowboy),BR,19,SA,-2.261,0.587,0.784,0.653,8.44e-05,11,0.268,0,0.0423,133.08,4,0.611,False,5IREutgMnyQqRcc8r15gWk
BR-6RjSXi9cPGroetXeNsWFGL,MTG QUEM NÃO QUER SOU EU,BR,20,SA,-6.37,0.364,0.492,0.427,0.00482,9,0.53,0,0.372,80.492,5,0.443,False,0LyfQWJT6nXafLPZqxe9Of
BR-0agjQg7eWrwFtqBQRKu1CX,Foi Intenso - Ao Vivo,BR,21,SA,-4.413,0.125,0.755,0.844,0.0,11,0.656,0,0.0737,144.834,4,0.769,False,487N2T9nIPEHrlTZLL3SQs
BR-7tI8dRuH2Yc6RuoTjxo4dU,Who,BR,22,SA,-3.743,0.00289,0.66,0.756,0.0,0,0.193,0,0.032,116.034,4,0.838,False,1oSPZhvZMIrWW5I41kPkkY
BR-1K14aw84e0i5IHFHkq7aNn,Mistérios,BR,23,SA,-9.06,0.189,0.762,0.41,0.0,8,0.221,0,0.178,113.915,4,0.531,False,2h5Ha0ZiMFmOQD3iYcSXsy
BR-6nHOS9bPDkMzzjxWS6PBtt,Chorosa - Ao Vivo,BR,24,SA,-2.524,0.532,0.49,0.887,0.0,4,0.402,1,0.302,144.461,4,0.511,False,6m6e7D2TnV0aYMllFFwMxu
BR-3TzANwXYkLsjIY9CT7prcL,Patrai,BR,25,SA,-5.964,0.312,0.736,0.77,0.0,5,0.0664,0,0.0735,174.084,4,0.933,True,1SXhEXzOTF7YeuQX59m7pT
BR-1CpneInvFvGYcDVU4CCDgI,Minha Herança,BR,26,SA,-3.662,0.2,0.653,0.645,0.0,4,0.301,0,0.028,95.046,3,0.419,False,2CKOmarVWvWqkNWUatHCex
BR-2o4hr5HCAKShrbFtmxm7Dg,Torre Eiffel - Ao Vivo,BR,27,SA,-3.244,0.265,0.614,0.842,0.0,6,0.639,1,0.0586,79.935,4,0.708,False,0CdnnCbbKD4oIzBmxi2o7r
BR-2plbrEY59IikOBgBGLjaoe,Die With A Smile,BR,28,SA,-7.777,0.308,0.521,0.592,0.0,6,0.122,0,0.0304,157.969,3,0.535,False,1HY2Jd0NmPuamShAr6KMms
